budget,revenue,content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
3000000.0,29800000.0,100,76,"Crime,Drama,History",Sidney Lumet,1973,12,5,2,130,Serpico,https://www.themoviedb.org//movie/9040-serpico
25000000.0,29200000.0,100,57,"Action,Comedy,Crime",Jared Hess,2016,9,30,4,94,Masterminds,https://www.themoviedb.org//movie/213681-masterminds
nan,nan,100,42,"Action,Crime,Drama,Thriller",Jesper Ganslandt,2018,8,16,3,90,Beast of Burden,https://www.themoviedb.org//movie/454650-beast-of-burden
17000000.0,45719985.0,100,63,"Crime,Drama,Thriller",Antoine Fuqua,2010,3,4,3,133,Brooklyn's Finest,https://www.themoviedb.org//movie/26390-brooklyn's-finest
nan,nan,100,53,"Animation,Comedy,Drama,Fantasy,Romance",Seiji Kishi,2013,4,13,5,85,Aura: Koga Maryuin's Last War,https://www.themoviedb.org//movie/225086-aura-koga-maryuin's-last-war
nan,6483963.0,100,65,Comedy,Michael Dowse,2012,2,24,4,92,Goon,https://www.themoviedb.org//movie/74387-goon
19000000.0,36192775.0,100,60,Comedy,Todd Strauss-Schulson,2011,11,4,4,108,A Very Harold & Kumar Christmas,https://www.themoviedb.org//movie/55465-a-very-harold-&-kumar-christmas
11000000.0,62076141.0,100,73,"Romance,Drama",John Crowley,2015,11,25,2,111,Brooklyn,https://www.themoviedb.org//movie/167073-brooklyn
1500000.0,2200000.0,100,80,"Crime,Thriller",Alfred Hitchcock,1948,9,25,5,81,Rope,https://www.themoviedb.org//movie/1580-rope
4000000.0,44909486.0,100,68,"Romance,Drama",Marc Forster,2001,11,11,6,113,Monster's Ball,https://www.themoviedb.org//movie/1365-monster's-ball
nan,nan,100,60,"Fantasy,Adventure,Drama",J.M. Barrie,2020,11,13,4,94,Come Away,https://www.themoviedb.org//movie/527400-come-away
30000000.0,134212055.0,100,66,"Action,Thriller,Crime",Craig Bolotin,1989,9,22,4,125,Black Rain,https://www.themoviedb.org//movie/4105-black-rain
9000000.0,nan,100,51,"Science Fiction,Action,Thriller",Amariah Olson,2017,5,2,1,93,The Shadow Effect,https://www.themoviedb.org//movie/383538-the-shadow-effect
50000000.0,170128460.0,100,63,"Drama,Romance,Comedy",Peter Chelsom,2004,10,15,4,107,Shall We Dance?,https://www.themoviedb.org//movie/4380-shall-we-dance?
5000000.0,nan,100,56,"Action,Comedy,Horror,Western",S. S. Wilson,2004,1,2,4,101,Tremors 4: The Legend Begins,https://www.themoviedb.org//movie/10891-tremors-4-the-legend-begins
36000000.0,44350926.0,100,61,"Action,Drama",F. Gary Gray,2003,4,4,4,109,A Man Apart,https://www.themoviedb.org//movie/8409-a-man-apart
nan,nan,100,74,"Drama,Romance",Isabel Coixet,2019,5,24,4,118,Elisa & Marcela,https://www.themoviedb.org//movie/535356-elisa-&-marcela
